City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
231,nanortalik,60.1432,-45.2371,31.98,89,76,3.38,GL,1682313937
232,puerto carreno,6.189,-67.4859,76.93,84,75,3.8,CO,1682313937
233,koutsouras,35.0339,25.9469,62.11,61,50,7.94,GR,1682313937
234,lethem,3.3803,-59.7968,73.85,89,100,2.66,GY,1682313938
235,vardo,70.3705,31.1107,26.58,80,62,13.8,NO,1682313938
236,saint george,37.1041,-113.5841,66.43,43,40,23.02,US,1682313938
237,zhezkazgan,47.8043,67.7144,62.58,42,40,17.9,KZ,1682313938
238,dunedin,-45.8742,170.5036,52.81,10,21,18.7,NZ,1682313939
239,grand-santi,4.25,-54.3833,72.41,99,100,1.74,GF,1682313939
240,banfora,10.6333,-4.7667,79.92,66,62,5.3,BF,1682313939
241,saint-philippe,-21.3585,55.7679,83.79,67,24,8.81,RE,1682313939
242,jizan,17.3333,42.6667,90.54,42,54,1.95,SA,1682313939
243,socorro,31.6546,-106.3033,64.38,39,75,5.75,US,1682313940
244,mantua,45.1667,10.7833,56.98,89,100,1.99,IT,1682313940
245,hun,29.1268,15.9477,58.93,86,85,10.02,LY,1682313941
246,bosaso,11.2842,49.1816,87.78,62,0,23.02,SO,1682313941
247,terme,41.2092,36.9739,49.93,94,100,4.23,TR,1682313659
248,rio gallegos,-51.6226,-69.2181,44.65,87,0,1.14,AR,1682313941
249,gondanglegi,-7.7479,112.0132,87.57,68,56,3.98,ID,1682313941
250,sumbe,-11.2061,13.8437,77.97,89,89,6.35,AO,1682313942
251,geraldton,-28.7667,114.6,66.61,68,100,19.57,AU,1682313819
252,ouadda,8.0777,22.4007,69.46,93,100,2.21,CF,1682313942
253,salalah,17.0151,54.0924,86.09,62,0,9.22,OM,1682313943
254,taksimo,56.3444,114.8794,33.58,31,89,8.86,RU,1682313943
255,sur,22.5667,59.5289,85.3,60,100,4.83,OM,1682313943
256,airai,-8.9266,125.4092,69.53,78,72,4.25,TL,1682313943
257,tarauaca,-8.1614,-70.7656,71.29,99,86,1.28,BR,1682313944
258,havoysund,70.9963,24.6622,28.63,56,100,9.01,NO,1682313944
259,atar,20.5169,-13.0499,76.03,26,0,8.57,MR,1682313945
260,mount pleasant,32.7941,-79.8626,58.98,91,0,0.0,US,1682313945
261,neftcala,39.3742,49.2472,60.87,63,36,5.06,AZ,1682313945
262,nicolas bravo,18.45,-88.9167,71.06,92,92,3.22,MX,1682313946
263,torbay,47.6666,-52.7314,36.75,96,100,23.02,CA,1682313946
264,leshukonskoye,64.8989,45.7622,27.66,77,99,4.25,RU,1682313946
265,cidreira,-30.1811,-50.2056,69.4,85,96,14.09,BR,1682313946
266,acarau,-2.8856,-40.12,75.47,86,88,8.55,BR,1682313947
267,touros,-5.1989,-35.4608,75.94,89,87,9.73,BR,1682313948
268,baker city,44.7749,-117.8344,46.58,83,100,3.44,US,1682313948
269,bethel,41.3712,-73.414,48.29,85,20,3.44,US,1682313948
270,kelvington,52.1667,-103.5343,27.66,84,36,6.33,CA,1682313948
271,fortuna,40.5982,-124.1573,50.67,82,96,5.06,US,1682313949
272,paita,-5.0892,-81.1144,78.57,81,100,10.07,PE,1682313949
273,kulhudhuffushi,6.6221,73.07,84.76,68,99,9.55,MV,1682313949
274,la asuncion,11.0333,-63.8628,78.53,89,83,2.3,VE,1682313950
275,kisangani,0.5167,25.2,68.32,99,100,1.25,CD,1682313950
276,soto la marina,23.7667,-98.2167,71.06,85,96,12.62,MX,1682313951
277,saint-francois,46.4154,3.9054,47.64,81,0,5.75,FR,1682313951
278,simpang empat,4.95,100.6333,83.35,82,100,2.91,MY,1682313916
